Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Ouroboros,2,25927070538.0,45000000000.0
X11,0,7262402.04264803,27000000.0
Equihash,2,5211553258.01514,21000000000.0
NeoScrypt,0,182638400.0,400000000.0
X11,2,2702855668.85288,1800000000.0
Scrypt,0,1140734.91680375,15733333.0
NeoScrypt,2,4165967.57499639,27000000.0
Lyra2REv2,2,24000000.0,24000000.0
Equihash,2,17202361.088994,21000000.0
Scrypt,0,48459472454.0,25000000000.0
SHA-256,0,92050800.0,100000000.0
NIST5,0,560563220.0,1200000000.0
PHI1612,0,8305775.31777569,60000000.0
Dagger,2,33986980.0,156306732.71
Scrypt,0,2149688.0,21000000.0
Quark,0,30711550.5294042,200000000.0
Scrypt,2,99990001.493466,100000000.0
POS 2.0,2,12330806.30517,21000000.0
Scrypt,0,16362544.992,14788275.991
SHA-256,2,8999999990.0,9000000000.0
X11,2,175215859.0,350000000.0
NeoScrypt,2,6375259.04,45000000.0
Ethash,2,12756367.0,280000000.0
NeoScrypt,2,5832306.875,31800000.0
Quark,0,65269530.104518995,57879300.0
X11,0,38198594.8342105,144000000.0
DPoS,2,288090567.493887,500000000.0
NIST5,0,28399150208.0,30000000000.0
X13,0,183534024.88980702,210000000.0
Multiple,2,481730566.566176,660000000.0
Scrypt,0,110976977.29338,210000000.0
CryptoNight,2,19281821413.4924,85000000000.0
CryptoNight,2,4500000.0,12500000.0
Ethash,2,520891780.0,10000000000.0
NIST5,2,13247178.880728599,27716121.0
Scrypt,2,5761512.810349099,100000000.0
Quark,2,16955764.902064003,20000000.0
X11,2,80316207.0,550000000.0
CryptoNight-V7,2,441250233.377,999481516.0
Scrypt,0,4911500269.41,50000000000.0
Scrypt,0,8419402.321,150000000.0
Scrypt,2,3964201248.87125,4999999999.0
X11,0,45174214.1078625,50000000.0
BLAKE256,2,30089671530.5228,90000000000.0
X11,2,4229040.50393462,19800000.0
Scrypt,0,5573908.0,50000000.0
Scrypt,0,49933217.7511508,70000000.0
